Found 83 markdown files to extract from

[57/83] [Nature 2014-apr 02 vol. 508 iss. 7494] : 0 persons, 0 texts, 1 concepts
[58/83] [Nature 2015-apr 08 vol. 520 iss. 7546] : 0 persons, 0 texts, 2 concepts
[59/83] [Nature 2015-nov 11 vol. 527 iss. 7577] : 0 persons, 0 texts, 1 concepts
[60/83] [Nature 2019-jan 29 vol. 565 iss. 7741] : 3 persons, 0 texts, 4 concepts
[61/83] [Nuncius vol. 26 iss. 2] Greek Alchemist: 13 persons, 0 texts, 9 concepts
[62/83] [Nuncius vol. 9 iss. 2] Alchimie etPhilo: 1 persons, 0 texts, 0 concepts
[63/83] [Osiris 2014-jan vol. 29 iss. 1] Transmu: 6 persons, 0 texts, 12 concepts
[64/83] [Princeton Legacy Library] Raphael Patai: 20 persons, 30 texts, 29 concepts
[65/83] [Sixteenth Century Journal 2006-oct 01 v: 4 persons, 7 texts, 7 concepts
[66/83] [Storia della scienza] Matteo Martelli -: 20 persons, 0 texts, 8 concepts
[67/83] [Studies in History and Philosophy of Sc: 13 persons, 0 texts, 10 concepts
[68/83] [Studies in History and Philosophy of Sc: 9 persons, 0 texts, 3 concepts
[69/83] [Synthesis] Jennifer M. Rampling - The E: 20 persons, 0 texts, 25 concepts
[70/83] [Technology and Culture vol. 51 iss. 2] : 2 persons, 0 texts, 3 concepts
[71/83] [The Library 2019-jun 01 vol. 20 iss. 2]: 12 persons, 0 texts, 1 concepts
[72/83] [The Modern Language Review 2009-apr vol: 4 persons, 2 texts, 2 concepts
[73/83] Alkimia_Operativa_and_Alkimia_Speculativ: 18 persons, 0 texts, 14 concepts
[74/83] Arthur Edward Waite - The Turba Philosop: 1 persons, 0 texts, 13 concepts
[75/83] Ebers, Georg [Editor] - Papyros Ebers_ D: 1 persons, 0 texts, 0 concepts
[76/83] Filosofia meditativa. Alchimia e meditaz: 1 persons, 22 texts, 0 concepts
[77/83] MA_Thesis_Through_the_Alchemical_Looking: 20 persons, 3 texts, 24 concepts
[78/83] Michelspacher's Mountain of the Adepts -: 0 persons, 0 texts, 2 concepts
[79/83] Photiades - Count Cagliostro (2005, Tayl: 20 persons, 12 texts, 11 concepts
[80/83] Splendor solis_alchemical treatises of S: 7 persons, 6 texts, 17 concepts
[81/83] Stephan_Michelspacher_in_DIVINE_WISDOM_D: 4 persons, 0 texts, 18 concepts
[82/83] Szonyi-2003-Maier-libre: 0 persons, 0 texts, 0 concepts
[83/83] The_Jabirian_Kitab_al_Nukhab_and_Teachin: 7 persons, 0 texts, 11 concepts

============================================================
EXTRACTION COMPLETE
============================================================
Working notes created in: staging\pdf_working_notes
Extraction index: staging\pdf_entity_extraction.json
